FlightName,Date,Departure time,Arrival Time,From,To,Duration,Stops,Price
Go First,"Tue, Mar 1, 2022",15:00,17:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Air India,"Tue, Mar 1, 2022",18:00,20:00,New Delhi,Mumbai,02 h,Non stop,"₹ 5,955"
Air India,"Tue, Mar 1, 2022",19:00,21:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
SpiceJet,"Tue, Mar 1, 2022",19:45,22:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
Air India,"Tue, Mar 1, 2022",20:00,22:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",20:45,23:00,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",21:00,23:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",22:30,00:40,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",23:35,01:45,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",07:00,14:35,New Delhi,Mumbai,07 h 35 m,1 stop via Jodhpur,"₹ 5,955"
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
AirAsia,"Tue, Mar 1, 2022",04:25,06:35,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",05:45,07:55,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",07:30,09:45,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",08:50,11:10,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",11:40,14:00,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",17:45,20:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",19:00,21:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,956"
Vistara,"Tue, Mar 1, 2022",09:30,11:35,New Delhi,Mumbai,02 h 05 m,Non stop,"₹ 6,061"
Vistara,"Tue, Mar 1, 2022",10:20,12:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,061"
Vistara,"Tue, Mar 1, 2022",12:50,15:00,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,061"
Vistara,"Tue, Mar 1, 2022",14:20,16:30,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,061"
Vistara,"Tue, Mar 1, 2022",15:30,17:40,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,061"
Vistara,"Tue, Mar 1, 2022",16:45,19:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 6,061"
Vistara,"Tue, Mar 1, 2022",20:40,22:50,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,061"
IndiGo,"Tue, Mar 1, 2022",21:15,23:30,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,165"
SpiceJet,"Tue, Mar 1, 2022",18:55,21:05,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,270"
IndiGo,"Tue, Mar 1, 2022",20:00,22:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,375"
Vistara,"Tue, Mar 1, 2022",19:50,22:00,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,376"
Vistara,"Tue, Mar 1, 2022",21:40,23:50,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,376"
Go First,"Tue, Mar 1, 2022",14:20,16:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,532"
AirAsia,"Tue, Mar 1, 2022",18:35,21:05,New Delhi,Mumbai,02 h 30 m,Non stop,"₹ 6,559"
IndiGo,"Tue, Mar 1, 2022",16:00,18:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,585"
IndiGo,"Tue, Mar 1, 2022",17:15,19:25,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,585"
IndiGo,"Tue, Mar 1, 2022",18:40,20:50,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,585"
IndiGo,"Tue, Mar 1, 2022",12:00,14:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 7,110"
IndiGo,"Tue, Mar 1, 2022",14:20,16:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 7,110"
IndiGo,"Tue, Mar 1, 2022",07:25,16:05,New Delhi,Mumbai,08 h 40 m,1 stop via Jaipur,"₹ 7,908"
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
AirAsia,"Thu, Mar 3, 2022",08:20,14:10,New Delhi,Mumbai,05 h 50 m,1 stop via Ranchi,"₹ 5,952"
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
,"Thu, Mar 3, 2022",,,,,,,
IndiGo,"Thu, Mar 3, 2022",02:00,04:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",02:00,04:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",04:45,07:10,New Delhi,Mumbai,02 h 25 m,Non stop,"₹ 5,955"
SpiceJet,"Thu, Mar 3, 2022",06:20,08:40,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",06:30,08:40,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Air India,"Thu, Mar 3, 2022",07:00,09:05,New Delhi,Mumbai,02 h 05 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",07:00,09:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",07:15,09:25,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
SpiceJet,"Thu, Mar 3, 2022",07:20,09:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Air India,"Thu, Mar 3, 2022",08:00,10:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",08:10,10:20,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",08:45,11:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",09:30,12:00,New Delhi,Mumbai,02 h 30 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",10:30,12:50,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
Air India,"Thu, Mar 3, 2022",10:40,12:50,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",10:45,13:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",11:15,13:25,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",12:00,14:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Thu, Mar 3, 2022",14:20,16:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Go First,"Thu, Mar 3, 2022",14:20,16:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
